curie	label	envo_native	obsolete	legacy_pv	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	nmdc_scoped_count	gold_scoped_count	ncbi_scoped_count
ENVO:01001036	sediment permeated by saline water	True	False	False	False	False	False	False	False	True			
ENVO:01000301	estuarine water	True	False	False	True	False	False	False	False	True			64.0
FOODON:00001867	food dressing product	False	False	False	False	False	False	False	False	True			
ENVO:01001139	methane ice	True	False	False	False	False	False	False	False	True			
FOODON:00001069	fermented fruit food product	False	False	False	False	False	False	False	False	True			
ENVO:00002057	raw primary sludge	True	False	False	False	False	False	False	False	True			1.0
ENVO:02000112	fume	True	False	False	False	False	False	False	False	True			
FOODON:00002645	food product by process	False	False	False	False	False	False	False	False	True			
ENVO:01001125	ice	True	False	False	False	False	False	False	False	True			
FOODON:00001157	pomaceous fruit juice beverage	False	False	False	False	False	False	False	False	True			
ENVO:01000600	rainwater	True	False	False	False	False	False	False	False	True			
ENVO:01001883	hoar crystal	True	False	False	False	False	False	False	False	True			
ENVO:02000084	goat manure	True	False	False	False	False	False	False	False	True			
FOODON:00001096	fermented elaeis palm beverage	False	False	False	False	False	False	False	False	True			
ENVO:00002011	fresh water	True	False	False	False	False	False	False	False	True			85.0
ENVO:03510031	oil-based paint	True	False	False	False	False	False	False	False	True			
FOODON:00001272	zebra milk beverage	False	False	False	False	False	False	False	False	True			
ENVO:00003084	trimethylamine enriched soil	True	False	False	True	False	False	False	False	True			
ENVO:03600071	cyanobacterial bloom	True	False	False	True	False	False	False	False	False			1.0
ENVO:00002871	alluvial soil	True	False	False	True	False	False	False	False	True			
FOODON:00001230	mustard seed food product	False	False	False	False	False	False	False	False	True			
FOODON:00002153	plant seed vegetable food product	False	False	False	False	False	False	False	False	True			
ENVO:00002248	luvisol	True	False	False	True	False	False	False	False	True			
ENVO:01000847	hair ice	True	False	False	False	False	False	False	False	True			
ENVO:00002267	industrial waste material	True	False	False	False	False	False	False	False	True			
ENVO:03600006	food waste	True	False	False	False	False	False	False	False	True			
ENVO:00005797	lake bottom mud	True	False	False	True	False	False	False	False	True			41.0
ENVO:01001397	ultisol	True	False	False	True	False	False	False	False	True			
FOODON:00002456	food (baked)	False	False	False	False	False	False	False	False	True			
ENVO:00002167	platinum mine	True	False	False	True	False	False	False	False	False			
ENVO:02000098	platinum ore	True	False	False	False	False	False	False	False	True			
ENVO:00002116	contaminated soil	True	False	False	True	False	False	False	False	True			
ENVO:00005749	farm soil	True	False	False	True	False	False	False	False	True			
FOODON:00001202	winged bean food product	False	False	False	False	False	False	False	False	True			
ENVO:00005796	marine sludge	True	False	False	False	False	False	False	False	True			
ENVO:01001638	frost-susceptible soil	True	False	False	True	False	False	False	False	True			
ENVO:03501302	cork	True	False	False	False	False	False	False	False	True			
FOODON:03301227	broad bean (whole)	False	False	False	False	False	False	False	False	True			
FOODON:03400644	a.  primary food commodities of plant origin (ccpr)	False	False	False	False	False	False	False	False	True			
ENVO:01000560	charcoal	True	False	False	False	False	False	False	False	True			
ENVO:03000133	agricultural potting mixture	True	False	False	False	False	False	False	False	True			
ENVO:01001869	fracking liquid	True	False	False	False	False	False	False	False	True			
ENVO:01001646	amorphous solid	True	False	False	False	False	False	False	False	True			
FOODON:00001150	cucurbit fruit food product	False	False	False	False	False	False	False	False	True			
ENVO:01001204	alluvial deposit	True	False	False	False	False	False	False	False	True			
FOODON:00001097	fermented sugar cane beverage	False	False	False	False	False	False	False	False	True			
ENVO:01001614	ice-bearing permafrost	True	False	False	False	False	False	False	False	True			
ENVO:01000815	liquid environmental material	True	False	False	False	False	False	False	False	True			
ENVO:00002072		False	False	False	False	False	False	False	False	False			1.0
FOODON:00002196	refined or partially-refined food product	False	False	False	False	False	False	False	False	True			
FOODON:03315302	cocoa food product	False	False	False	False	False	False	False	False	True			
FOODON:00001135	distilled fermented grain beverage	False	False	False	False	False	False	False	False	True			
ENVO:00002870	adobe	True	False	False	False	False	False	False	False	True			
ENVO:03000041	brine channel	True	False	False	True	False	False	False	False	False			
ENVO:00005752	sawah soil	True	False	False	True	False	False	False	False	True			
FOODON:00001094	fermented beverage	False	False	False	False	False	False	False	False	True			
FOODON:03400147	milk or milk product analog (us cfr)	False	False	False	False	False	False	False	False	True			
ENVO:03501370	stagnant water	True	False	False	False	False	False	False	False	True			
ENVO:00002230	anthrosol	True	False	False	True	False	False	False	False	True			
FOODON:00001258	food (fermented)	False	False	False	False	False	False	False	False	True			
ENVO:03000076	slush ice	True	False	False	False	False	False	False	False	True			
ENVO:00002118	sea sand	True	False	False	False	False	False	False	False	True			4.0
ENVO:03600016	saprolite	True	False	False	False	False	False	False	False	True			
ENVO:00002138	beach sand	True	False	False	True	False	False	False	False	True			3.0
FOODON:00001121	equine milk beverage	False	False	False	False	False	False	False	False	True			
ENVO:00002113	deep marine sediment	True	False	False	False	False	False	False	False	True			210.0
ENVO:00002045	anaerobic sediment	True	False	False	False	False	False	False	False	True			63.0
ENVO:02000145	subterranean lake	True	False	False	True	False	False	False	False	True			
FOODON:00001174	plant lipid food product	False	False	False	False	False	False	False	False	True			
ENVO:00002240	kastanozem	True	False	False	True	False	False	False	False	True			
FOODON:00001027	cheddar cheese food product	False	False	False	False	False	False	False	False	True			
FOODON:00001611	apple food product	False	False	False	False	False	False	False	False	True			
ENVO:02000039	synovial fluid material	True	False	False	False	False	False	False	False	True			
ENVO:00000054	saline marsh	True	False	False	False	True	False	False	False	False			36.0
ENVO:06105279	sandy clay	True	False	False	False	False	False	False	False	True			
FOODON:00001838	fermented cereal beverage	False	False	False	False	False	False	False	False	True			
FOODON:00001891	fruit salad food product	False	False	False	False	False	False	False	False	True			
FOODON:00001248	fish food product	False	False	False	False	False	False	False	False	True			
ENVO:00005756	lawn soil	True	False	False	True	False	False	False	False	True			
ENVO:01000158	marine snow	True	False	False	False	False	False	False	False	True			
FOODON:03400187	natural cheese (us cfr)	False	False	False	False	False	False	False	False	True			
ENVO:00003044	brine	True	False	False	False	False	False	False	False	True			4.0
FOODON:03315173	fish product (unspecified species)	False	False	False	False	False	False	False	False	True			
ENVO:03000021	soot	True	False	False	False	False	False	False	False	True			
ENVO:00002001	waste water	True	False	False	False	False	False	False	False	True			
FOODON:00001277	orange juice (unpasteurized)	False	False	False	False	False	False	False	False	True			
ENVO:01001234	recalcitrant kerogen	True	False	False	False	False	False	False	False	True			
