ENVO:00005801	rhizosphere	rhizosphere
PO:0009005	root	root
PO:0003023	root nodule	root nodule
PO:0004513	sapwood	sapwood
PO:0005848	secondary xylem	secondary xylem
PO:0009010	seed	seed
PO:0008037	seedling	seedling
PO:0009047	stem	stem
PO:0025522	tuber	tuber
PO:0025417	xylem vessel	xylem vessel
ENVO:00000011	garden	garden
ENVO:00000014	canal	canal
ENVO:00000020	lake	lake
ENVO:00000022	river	river
ENVO:00000023	stream	stream
ENVO:00000025	reservoir	reservoir
ENVO:00000026	well	well
ENVO:00000027	spring	spring
ENVO:00000031	wadi	wadi
ENVO:00000035	marsh	marsh
ENVO:00000037	ditch	ditch
ENVO:00000039	fjord	fjord
ENVO:00000043	wetland area	wetland area
ENVO:00000044	peatland	peatland
ENVO:00000045	estuary	estuary
ENVO:00000051	hot spring	hot spring
ENVO:00000057	mangrove swamp	mangrove swamp
ENVO:00000067	cave	cave
ENVO:00000068	tunnel	tunnel
ENVO:00000076	mine	mine
ENVO:00000078	farm	farm
ENVO:00000081	mountain	mountain
ENVO:00000083	hill	hill
ENVO:00000086	plain	plain
ENVO:00000087	cliff	cliff
ENVO:00000091	beach	beach
ENVO:00000096	caldera	caldera
ENVO:00000101	delta	delta
ENVO:00000109	woodland area	woodland area
ENVO:00000114	agricultural field	agricultural field
ENVO:00000133	glacier	glacier
ENVO:00000141	bank	bank
ENVO:00000155	cirque	cirque
ENVO:00000170	dune	dune
ENVO:00000174	isthmus	isthmus
ENVO:00000175	karst	karst
ENVO:00000178	levee	levee
ENVO:00000179	mesa	mesa
ENVO:00000182	plateau	plateau
ENVO:00000189	peat swamp	peat swamp
ENVO:00000192	mudflat	mudflat
ENVO:00000195	sinkhole	sinkhole
ENVO:00000216	fumarole	fumarole
ENVO:00000232	fen	fen
ENVO:00000247	volcano	volcano
ENVO:00000255	flood plain	flood plain
ENVO:00000260	prairie	prairie
ENVO:00000262	steppe	steppe
ENVO:00000266	pasture	pasture
ENVO:00000283	ridge	ridge
ENVO:00000284	quarry	quarry
ENVO:00000287	butte	butte
ENVO:00000291	drainage basin	drainage basin
ENVO:00000292	watershed	watershed
ENVO:00000305	peninsula	peninsula
ENVO:00000316	intertidal zone	intertidal zone
ENVO:00000328	vadose zone	vadose zone
ENVO:00000463	harbour	harbour
ENVO:00000486	shoreline	shoreline
ENVO:00000489	palsa	palsa
ENVO:00000514	crater	crater
ENVO:00000516	hummock	hummock
ENVO:00000533	landfill	landfill
ENVO:00000562	park	park
ENVO:00002000	slope	slope
ENVO:00002061	oil spill	oil spill
ENVO:00005801	rhizosphere	rhizosphere
ENVO:00005803	animal habitation	animal habitation
ENVO:00012408	aquifer	aquifer
ENVO:01000433	needleleaf forest	needleleaf forest
ENVO:01000447	roadside	roadside
ENVO:01000671	dike	dike
ENVO:01000816	area of deciduous forest	area of deciduous forest
ENVO:01000843	area of evergreen forest	area of evergreen forest
ENVO:01000861	area of dwarf scrub	area of dwarf scrub
ENVO:01000891	area of pastureland or hayfields	area of pastureland or hayfields
ENVO:01000892	area of cropland	area of cropland
ENVO:01001357	desert	desert
ENVO:01001568	frost heave	frost heave
ENVO:01001803	tropical forest	tropical forest
ENVO:03000117	channel	channel
ENVO:03500005	anthropogenic litter	anthropogenic litter
ENVO:04000009	active permafrost layer	active permafrost layer
ENVO:01000195	flooded grassland biome	flooded grassland biome
ENVO:01000196	coniferous forest biome	coniferous forest biome
ENVO:01000176	shrubland biome	shrubland biome
ENVO:01000226	subtropical moist broadleaf forest biome	subtropical moist broadleaf forest biome
ENVO:01000202	temperate broadleaf forest biome	temperate broadleaf forest biome
ENVO:01000211	temperate coniferous forest biome	temperate coniferous forest biome
ENVO:01000217	mediterranean shrubland biome	mediterranean shrubland biome
ENVO:01000188	tropical savanna biome	tropical savanna biome
ENVO:01000181	mangrove biome	mangrove biome
ENVO:01000250	subpolar coniferous forest biome	subpolar coniferous forest biome
ENVO:00000446	terrestrial biome	terrestrial biome
ENVO:01000208	mediterranean woodland biome	mediterranean woodland biome
ENVO:01000215	temperate shrubland biome	temperate shrubland biome
ENVO:01000209	subtropical coniferous forest biome	subtropical coniferous forest biome
ENVO:01000212	temperate mixed forest biome	temperate mixed forest biome
ENVO:01000210	tropical coniferous forest biome	tropical coniferous forest biome
ENVO:01000192	tropical grassland biome	tropical grassland biome
ENVO:01001505	alpine tundra biome	alpine tundra biome
ENVO:01000213	subtropical shrubland biome	subtropical shrubland biome
ENVO:01000177	grassland biome	grassland biome
ENVO:01000180	tundra biome	tundra biome
ENVO:01000194	montane grassland biome	montane grassland biome
ENVO:01000201	subtropical broadleaf forest biome	subtropical broadleaf forest biome
ENVO:01000200	tropical broadleaf forest biome	tropical broadleaf forest biome
ENVO:01000178	savanna biome	savanna biome
ENVO:01000175	woodland biome	woodland biome
ENVO:01000223	montane savanna biome	montane savanna biome
ENVO:01000216	montane shrubland biome	montane shrubland biome
ENVO:01000218	xeric shrubland biome	xeric shrubland biome
ENVO:01000174	forest biome	forest biome
ENVO:01000247	rangeland biome	rangeland biome
ENVO:01000220	tropical woodland biome	tropical woodland biome
ENVO:01000193	temperate grassland biome	temperate grassland biome
ENVO:01000221	temperate woodland biome	temperate woodland biome
ENVO:01000227	tropical dry broadleaf forest biome	tropical dry broadleaf forest biome
ENVO:01001369	tidal mangrove shrubland	tidal mangrove shrubland
ENVO:01000214	tropical shrubland biome	tropical shrubland biome
ENVO:01000199	mediterranean forest biome	mediterranean forest biome
ENVO:01000229	mediterranean savanna biome	mediterranean savanna biome
ENVO:01000245	cropland biome	cropland biome
ENVO:01000198	mixed forest biome	mixed forest biome
ENVO:01000225	subtropical dry broadleaf forest biome	subtropical dry broadleaf forest biome
ENVO:01001798	tropical mixed forest biome	tropical mixed forest biome
ENVO:01000224	mediterranean grassland biome	mediterranean grassland biome
ENVO:01000191	subtropical grassland biome	subtropical grassland biome
ENVO:01000219	anthropogenic terrestrial biome	anthropogenic terrestrial biome
ENVO:01000222	subtropical woodland biome	subtropical woodland biome
ENVO:01000228	tropical moist broadleaf forest biome	tropical moist broadleaf forest biome
ENVO:01000189	temperate savanna biome	temperate savanna biome
ENVO:01000190	flooded savanna biome	flooded savanna biome
ENVO:01000197	broadleaf forest biome	broadleaf forest biome
ENVO:01000187	subtropical savanna biome	subtropical savanna biome
ENVO:00005756	lawn soil	lawn soil
ENVO:00002248	luvisol	luvisol
ENVO:00002257	podzol	podzol
ENVO:00005759	alluvial paddy field soil	alluvial paddy field soil
ENVO:00005750	grassland soil	grassland soil
ENVO:01001616	bare soil	bare soil
ENVO:00002274	stagnosol	stagnosol
ENVO:00005779	vegetable garden soil	vegetable garden soil
ENVO:00005767	manured soil	manured soil
ENVO:00002251	planosol	planosol
ENVO:00005783	leafy wood soil	leafy wood soil
ENVO:00005778	tropical soil	tropical soil
ENVO:00002239	calcisol	calcisol
ENVO:00002237	chernozem	chernozem
ENVO:00005742	arable soil	arable soil
ENVO:00005764	pond soil	pond soil
ENVO:00002233	albeluvisol	albeluvisol
ENVO:00005747	compost soil	compost soil
ENVO:00005754	fertilized soil	fertilized soil
ENVO:00002246	ferralsol	ferralsol
ENVO:00002241	leptosol	leptosol
ENVO:00005765	frozen compost soil	frozen compost soil
ENVO:00002255	solonetz	solonetz
ENVO:02000059	surface soil	surface soil
ENVO:00002232	andosol	andosol
ENVO:06105205	compacted soil	compacted soil
ENVO:00002259	agricultural soil	agricultural soil
ENVO:03600036	pathogen-suppressive soil	pathogen-suppressive soil
ENVO:00005786	upland soil	upland soil
ENVO:00005746	savanna soil	savanna soil
ENVO:00005744	allotment garden soil	allotment garden soil
ENVO:00005788	rubber plantation soil	rubber plantation soil
ENVO:00005751	jungle soil	jungle soil
ENVO:00005768	orchid soil	orchid soil
ENVO:00002244	gleysol	gleysol
ENVO:00005752	sawah soil	sawah soil
ENVO:00005766	limed soil	limed soil
ENVO:00005784	spruce forest soil	spruce forest soil
ENVO:00002247	nitisol	nitisol
ENVO:01001638	frost-susceptible soil	frost-susceptible soil
ENVO:00002230	anthrosol	anthrosol
ENVO:00005789	bluegrass field soil	bluegrass field soil
ENVO:01001527	plastic-frozen soil	plastic-frozen soil
ENVO:01001397	ultisol	ultisol
ENVO:00002871	alluvial soil	alluvial soil
ENVO:00002252	solonchak	solonchak
ENVO:00002253	umbrisol	umbrisol
ENVO:00002258	loam	loam
ENVO:00002254	vertisol	vertisol
ENVO:00002249	phaeozem	phaeozem
ENVO:00005770	beech forest soil	beech forest soil
ENVO:00002245	gypsisol	gypsisol
ENVO:00002275	technosol	technosol
ENVO:00002231	alisol	alisol
ENVO:00005802	bulk soil	bulk soil
ENVO:00002242	lixisol	lixisol
ENVO:01001185	acidic soil	acidic soil
ENVO:00002236	cryosol	cryosol
ENVO:00005741	alpine soil	alpine soil
ENVO:00002243	histosol	histosol
ENVO:01001526	frozen soil	frozen soil
ENVO:00002229	arenosol	arenosol
ENVO:00005758	alluvial swamp soil	alluvial swamp soil
ENVO:00005771	muddy soil	muddy soil
ENVO:00005782	ornithogenic soil	ornithogenic soil
ENVO:00005781	heat stressed soil	heat stressed soil
ENVO:00002238	durisol	durisol
ENVO:01001528	friable-frozen soil	friable-frozen soil
ENVO:00005740	paddy field soil	paddy field soil
ENVO:00002273	fluvisol	fluvisol
ENVO:00002250	plinthosol	plinthosol
ENVO:00002235	cambisol	cambisol
ENVO:00005787	eucalyptus forest soil	eucalyptus forest soil
ENVO:00002240	kastanozem	kastanozem
ENVO:00005748	dry soil	dry soil
ENVO:00002262	clay soil	clay soil
ENVO:00005760	burned soil	burned soil
ENVO:00005761	meadow soil	meadow soil
ENVO:00002261	forest soil	forest soil
ENVO:00002234	acrisol	acrisol
ENVO:00002256	regosol	regosol
ENVO:00005769	mountain forest soil	mountain forest soil
ENVO:01001525	hard-frozen soil	hard-frozen soil
ENVO:00001998	soil	soil
ENVO:00005790	red soil	red soil
ENVO:00012408	aquifer	aquifer
ENVO:00000067	cave	cave
ENVO:00000076	mine	mine
ENVO:00000025	reservoir	reservoir
ENVO:00000153	headwater	headwater
ENVO:02000145	subterranean lake	subterranean lake
ENVO:03600052	water tap	water tap
ENVO:01000142	wood fall	wood fall
ENVO:01000140	whale fall	whale fall
ENVO:01001871	pit	pit
ENVO:00000055	saline evaporation pond	saline evaporation pond
ENVO:01000002	water well	water well
ENVO:00000044	peatland	peatland
ENVO:00002034	biofilm	biofilm
ENVO:00000035	marsh	marsh
ENVO:03600074	aquaculture farm	aquaculture farm
ENVO:00000133	glacier	glacier
ENVO:00000054	saline marsh	saline marsh
ENVO:00000244	abyssal plain	abyssal plain
ENVO:00001997	acid mine drainage	acid mine drainage
ENVO:00000114	agricultural field	agricultural field
ENVO:01001072	anoxic lake	anoxic lake
ENVO:00000220	archipelago	archipelago
ENVO:00000091	beach	beach
ENVO:00000218	black smoker	black smoker
ENVO:00000057	mangrove swamp	mangrove swamp
ENVO:01000687	coast	coast
ENVO:01000263	cold seep	cold seep
ENVO:01000298	continental margin	continental margin
ENVO:00000150	coral reef	coral reef
ENVO:03600071	cyanobacterial bloom	cyanobacterial bloom
ENVO:02000139	desert spring	desert spring
ENVO:00002131	epilimnion	epilimnion
ENVO:00000045	estuary	estuary
ENVO:00000039	fjord	fjord
ENVO:00000255	flood plain	flood plain
ENVO:00000021	freshwater lake	freshwater lake
ENVO:01000409	freshwater littoral zone	freshwater littoral zone
ENVO:01000297	freshwater river	freshwater river
ENVO:03605007	freshwater stream	freshwater stream
ENVO:00000488	glacial lake	glacial lake
ENVO:00000214	hadalpelagic zone	hadalpelagic zone
ENVO:00000463	harbour	harbour
ENVO:01001209	wetland ecosystem	wetland ecosystem
ENVO:00000051	hot spring	hot spring
ENVO:00000215	hydrothermal vent	hydrothermal vent
ENVO:00002130	hypolimnion	hypolimnion
ENVO:00000475	inlet	inlet
ENVO:00000316	intertidal zone	intertidal zone
ENVO:00000020	lake	lake
ENVO:01000407	littoral zone	littoral zone
ENVO:00000210	marine aphotic zone	marine aphotic zone
ENVO:00000211	marine bathypelagic zone	marine bathypelagic zone
ENVO:03600041	marine lake	marine lake
ENVO:00000213	marine mesopelagic zone	marine mesopelagic zone
ENVO:00000206	marine neritic zone	marine neritic zone
ENVO:00000208	marine pelagic zone	marine pelagic zone
ENVO:00000209	marine photic zone	marine photic zone
ENVO:03000040	melt pond	melt pond
ENVO:00002132	metalimnion	metalimnion
ENVO:00001996	mine drainage	mine drainage
ENVO:00000402	mud volcano	mud volcano
ENVO:00000015	ocean	ocean
ENVO:00000275	ocean trench	ocean trench
ENVO:01000749	oceanic crust	oceanic crust
ENVO:00002063	oil seep	oil seep
ENVO:00002061	oil spill	oil spill
ENVO:00000232	fen	fen
ENVO:00000033	pond	pond
ENVO:01000871	puddle of water	puddle of water
ENVO:00000148	riffle	riffle
ENVO:00000022	river	river
ENVO:01000008	microbial mat	microbial mat
ENVO:00000016	sea	sea
ENVO:01000905	shrimp pond	shrimp pond
ENVO:00000195	sinkhole	sinkhole
