curie	label	envo_native	obsolete	no_comparison_enum	ancestors_in_enum_count	descendants_in_enum_count	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	soil	liquid water	water ice	human_construction	building	building_part	goldterms_mappings	nmdc_scoped_count	gold_hybrid_count	ncbi_scoped_count
ENVO:00002444		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:00001172	nut food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00000040	waterfall	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:00002342		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002228	pond water	True	False	False	0	0	True	False	False	False	False	True	False	True	False	False	False	False	False			2025.0
ENVO:00000447	marine biome	True	False	False	0	0	True	True	True	False	True	False	False	False	False	False	False	False	False			133.0
ENVO:00001999	marine water body	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			798.0
ENVO:00000001	bedding-plane cave	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002771		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:00002663	pork food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
UBERON:0000955	brain	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
FOODON:03312053	pork (dehydrated)	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002420		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:00001152	melon fruit food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:01000789	flame	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002645		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002430		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:00001104	sea water fish egg food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002697		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002409		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000476	lake inlet	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			13.0
ENVO:00000315	bajada	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:00010505	aerosol	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			40.0
ENVO:00002068		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:01001316	estuarine open water upper water column	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			495.0
FOODON:00001194	dry pea food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002873	organic waste material	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			83.0
ENVO:01000444	dacitic lava	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002077		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:01000459	asphalt concrete	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002656		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00003089	testosterone enriched soil	True	False	False	0	0	True	False	False	False	False	True	True	False	False	False	False	False	False			
ENVO:00000417	machair	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00002087		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:01001669	mariculture process	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			34.0
ENVO:00002634		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000550	range of seamounts	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00002179	intertidal sediment	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			241.0
ENVO:00002269	thermocline	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:00001252	animal derived beverage	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:2017111503		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:01000396	tropical sclerophyllous dry forest	True	False	False	0	0	True	True	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00002216	obsolete plant food product	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00000375	world heritage site	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:01000442	dacite	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002154	radioactive sediment	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			3.0
ENVO:00000288	cotton plantation	True	False	False	0	0	True	True	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:06105273	fine sand	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00000210	marine aphotic zone	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			5.0
ENVO:00002571		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:02000138	mangrove biome soil	True	False	False	0	0	True	False	False	False	False	True	True	False	False	False	False	False	True		6.0	
ENVO:00000399	ash cone	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00002268	sphagnum bog	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False			
CHEBI:33290	food	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			3.0
ENVO:00002479		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:01001286	slate dust	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002290		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002277	back-arc basin	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00005776	peaty paddy field soil	True	False	False	0	0	True	False	False	False	False	True	True	False	False	False	False	False	False			
ENVO:00002415		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00005801	rhizosphere	True	False	False	0	0	True	True	False	False	False	False	False	False	False	False	False	False	False			10.0
ENVO:00002150	coastal sea water	True	False	False	0	0	False	False	False	False	False	True	False	True	False	False	False	False	False			11025.0
ENVO:00000016	sea	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			906.0
ENVO:04000014	particulate organic nitrogen	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:02000128	fly ash	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002574		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002544		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002647		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:01000853	marl	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002303		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:00001747	cocoa beverage	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
FOODON:00001243	animal lipid food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00000319	low tide zone	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:00002550		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00003090	kynurenate enriched soil	True	False	False	0	0	True	False	False	False	False	True	True	False	False	False	False	False	False			
ENVO:03605002	epipelon	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	27.0		
ENVO:00002794		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000217	solfatara	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			5.0
ENVO:00002690		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002458		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:00001232	vinaigrette dressing food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
FOODON:00001279	cake icing food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:01000032	neritic pelagic zone biome	True	False	False	0	0	True	True	True	False	True	False	False	False	False	False	False	False	False			226.0
ENVO:00002180	naphthalene enriched sediment	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			1.0
ENVO:00002476		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000469	research facility	True	False	False	0	0	True	False	False	False	False	False	False	False	False	True	False	False	False			1.0
ENVO:00002434		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000283	ridge	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:00002168	gold mine	True	False	False	0	0	True	False	False	False	False	False	False	False	False	True	False	False	False			1.0
ENVO:00000194	scree	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			5.0
UBERON:0001474	bone element	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:00000514	crater	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:01000871	puddle of water	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			4.0
ENVO:00002657		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:01000309	cold environment	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:00003032	fresh animal manure	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002288		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:00001202	winged bean food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
FOODON:00001251	avian food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:01001820	cultured organic material	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:01000458	concrete	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			9.0
ENVO:00002556		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:01000320	marine environment	True	False	False	0	0	True	True	False	False	False	False	False	False	False	False	False	False	False			35.0
ENVO:01000385	temperate deciduous broadleaf forest	True	False	False	0	0	True	True	False	False	False	False	False	False	False	False	False	False	False			1.0
PATO:0001759	granular	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			163.0
ENVO:01001270	rural stormwater	True	False	False	0	0	False	False	False	False	False	True	False	True	False	False	False	False	False			
ENVO:00001997	acid mine drainage	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			27.0
ENVO:2017111507		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002156	Superfund site	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			3.0
ENVO:00005754	fertilized soil	True	False	False	0	0	True	False	False	False	False	True	True	False	False	False	False	False	False			
