subject	subject_label	predicate	content	content_label
GOLDTERMS:5306	Host-associated > Plants > Roots > Epiphytes	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5318	Host-associated > Plants > Roots > Bulk soil	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5320	Host-associated > Plants > Phyllosphere > Petiole	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5321	Host-associated > Plants > Phyllosphere > Leaf > Leaf lesion	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5322	Host-associated > Plants > Phyllosphere > Phylloplane/Leaf surface > Biofilm	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5405	Host-associated > Plants > Macrophytes > Submerged macrophytes	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5407	Host-associated > Plants > Macrophytes > Emergent macrophytes	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5416	Host-associated > Plants > Rhizome > Bulb	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5448	Host-associated > Plants > Seeds > Seed radicle	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5449	Host-associated > Plants > Roots > Rhizoplane > Endophytes	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5493	Engineered > Built environment > Drinking water treatment plant > Drinking water filter	mixs:mixs_extension	mixs:BuiltEnvironment	
GOLDTERMS:5500	Engineered > Built environment > Drinking water treatment plant > Drinking water	mixs:mixs_extension	mixs:BuiltEnvironment	
GOLDTERMS:5520	Engineered > Sewage treatment plant > Sludge	mixs:mixs_extension	mixs:MiscellaneousNaturalOrArtificialEnvironment	
GOLDTERMS:5523	Engineered > Sewage treatment plant > Wastewater	mixs:mixs_extension	mixs:MiscellaneousNaturalOrArtificialEnvironment	
GOLDTERMS:5527	Engineered > Built environment > Water treatment plant > Wastewater	mixs:mixs_extension	mixs:BuiltEnvironment	
GOLDTERMS:5552	Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Enriched plant cells	mixs:mixs_extension	mixs:MiscellaneousNaturalOrArtificialEnvironment	
GOLDTERMS:5553	Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Bulk soil	mixs:mixs_extension	mixs:MiscellaneousNaturalOrArtificialEnvironment	
GOLDTERMS:5554	Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Soil (non-planted)	mixs:mixs_extension	mixs:Soil	
GOLDTERMS:5568	Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Rhizosphere	mixs:mixs_extension	mixs:MiscellaneousNaturalOrArtificialEnvironment	
GOLDTERMS:5593	Engineered > Sewage treatment plant > Wastewater > Activated sludge	mixs:mixs_extension	mixs:MiscellaneousNaturalOrArtificialEnvironment	
GOLDTERMS:5624	Engineered > Sewage treatment plant > Activated sludge	mixs:mixs_extension	mixs:MiscellaneousNaturalOrArtificialEnvironment	
GOLDTERMS:5740	Host-associated > Plants > Phyllosphere > Cob	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5752	Host-associated > Plants > Phyllosphere > Caulosphere > Bark	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5782	Host-associated > Plants > Tissue > Bark	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5784	Host-associated > Plants > Roots > Rhizoplane	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5786	Host-associated > Plants > Roots > Galls	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5793	Host-associated > Plants > Rhizome > Stem tuber > Soil	mixs:mixs_extension	mixs:Soil	
GOLDTERMS:5796	Host-associated > Plants > Rhizoid	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5812	Host-associated > Plants > Biocrust	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:5823	Environmental > Terrestrial > Soil > Bulk soil > Plant pot	mixs:mixs_extension	mixs:Soil	
GOLDTERMS:5826	Host-associated > Plants > Phyllosphere > Anthosphere > Nectar	mixs:mixs_extension	mixs:PlantAssociated	
GOLDTERMS:Engineered-Artificial-ecosystem-Plant-growth-chamber	Engineered > Artificial ecosystem > Plant growth chamber	mixs:other	ENVO:00010622	vivarium
GOLDTERMS:Engineered-Artificial-ecosystem-Plant-growth-chamber-Defined-media	Engineered > Artificial ecosystem > Plant growth chamber > Defined media	mixs:other	ENVO:00010622	vivarium
GOLDTERMS:5449	Host-associated > Plants > Roots > Rhizoplane > Endophytes	mixs:other	ENVO:01001181	rhizoplane
GOLDTERMS:5500	Engineered > Built environment > Drinking water treatment plant > Drinking water	mixs:other	FOODON:03301647	
GOLDTERMS:5552	Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Enriched plant cells	mixs:other	ENVO:00010622	vivarium
GOLDTERMS:5553	Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Bulk soil	mixs:other	ENVO:00010622	vivarium
GOLDTERMS:5554	Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Soil (non-planted)	mixs:other	ENVO:00010622	vivarium
GOLDTERMS:5568	Engineered > Artificial ecosystem > Plant growth chamber > Defined media > Rhizosphere	mixs:other	ENVO:00010622	vivarium
GOLDTERMS:5784	Host-associated > Plants > Roots > Rhizoplane	mixs:other	ENVO:01001181	rhizoplane
GOLDTERMS:5812	Host-associated > Plants > Biocrust	mixs:other	ENVO:01000909	biocrust
GOLDTERMS:5823	Environmental > Terrestrial > Soil > Bulk soil > Plant pot	mixs:other	ENVO:03600045	plant pot
