curie	label	envo_native	obsolete	no_comparison_enum	ancestors_in_enum_count	descendants_in_enum_count	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	goldterms_mappings	nmdc_scoped_count	gold_hybrid_count	ncbi_scoped_count
ENVO:00000473	gravel pit	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:2017081512		False	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000527	flush toilet fixture	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01001559	cryopeg	True	False	False	0	0	True	False	False	False	False	False	False			4.0
ENVO:01000421	indoor kitchen	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:012014		False	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:00005801	rhizosphere	True	False	False	0	0	True	True	False	False	False	False	False			11.0
ENVO:03600007	formation fluid	True	False	False	0	0	False	False	False	False	False	True	False			1.0
ENVO:00000459	outlet glacier	True	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:00000053	freshwater marsh	True	False	False	0	0	False	True	False	False	False	False	False			1.0
ENVO:01001641	glaciation	True	False	False	0	0	False	False	False	False	False	False	False			15.0
ENVO:03000072	second year ice	True	False	False	0	0	False	False	False	False	False	True	False			1273.0
ENVO:00000023	stream	True	False	False	0	0	True	False	False	False	False	False	False			667.0
ENVO:00002276	animal waste material	True	False	False	0	0	False	False	False	False	False	True	False			82.0
ENVO:00000497	rincon	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:00002166	obsolete sausage	True	True	False	0	0	False	False	False	False	False	False	False			
ENVO:01000534	pour-flush toilet fixture	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000121	colloidal sediment	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:2018051511		False	False	False	0	0	False	False	False	False	False	False	False			
ENVO:00002144	cave wall	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:000043		False	False	False	0	0	False	False	False	False	False	False	False			1.0
CHEBI:33287	fertilizer	False	False	False	0	0	False	False	False	False	False	False	False			48.0
ENVO:00002187	obsolete milk formula	True	True	False	0	0	False	False	False	False	False	False	False			
ENVO:01000655	explosive eruption	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:00000509	marine terrace	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:00002062	obsolete oil	True	True	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:01000625	manufactured cage	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01001043	hypersaline water environment	True	False	False	0	0	False	True	False	False	False	False	False			165.0
ENVO:01001808	montane grassland	True	False	False	0	0	True	True	False	False	False	False	False			12.0
ENVO:00000134	permafrost	True	False	False	0	0	False	False	False	False	False	True	False			24.0
ENVO:01000263	cold seep	True	False	False	0	0	True	False	False	False	False	False	False			6.0
ENVO:02000139	desert spring	True	False	False	0	0	True	False	False	False	False	False	False			2.0
ENVO:01000473	thatch	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:06105013	marine biota	True	False	False	0	0	False	False	False	False	False	False	False			1.0
