subject	predicate	content
GOLDTERMS:5269	rdfs:label	Host-associated > Plants > Phyllosphere > Leaf
GOLDTERMS:5270	mixs:anatomical_site	PO:0025417
GOLDTERMS:5270	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5270	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5270	rdfs:label	Host-associated > Plants > Phyllosphere > Leaf > Xylem vessels
GOLDTERMS:5273	mixs:anatomical_site	UBERON:0000479
GOLDTERMS:5273	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5273	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5273	rdfs:label	Host-associated > Plants > Tissue
GOLDTERMS:5274	mixs:anatomical_site	PO:0025034
GOLDTERMS:5274	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5274	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5274	rdfs:label	Host-associated > Plants > Phyllosphere > Leaf > Leaf nodule
GOLDTERMS:5277	mixs:anatomical_site	PO:0005052
GOLDTERMS:5277	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5277	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5277	rdfs:label	Host-associated > Plants > Plant callus
GOLDTERMS:5301	mixs:anatomical_site	PO:0009005
GOLDTERMS:5301	mixs:env_local	ENVO:00005801
GOLDTERMS:5301	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5301	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5301	rdfs:label	Host-associated > Plants > Roots > Rhizosphere
GOLDTERMS:5302	mixs:anatomical_site	PO:0009005
GOLDTERMS:5302	mixs:env_local	ENVO:00005801
GOLDTERMS:5302	mixs:env_medium	ENVO:00001998
GOLDTERMS:5302	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5302	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5302	rdfs:label	Host-associated > Plants > Roots > Rhizosphere > Soil
GOLDTERMS:5304	mixs:anatomical_site	PO:0009005
GOLDTERMS:5304	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5304	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5304	rdfs:label	Host-associated > Plants > Roots > Endosphere
GOLDTERMS:5306	mixs:anatomical_site	PO:0009005
GOLDTERMS:5306	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5306	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5306	rdfs:label	Host-associated > Plants > Roots > Epiphytes
GOLDTERMS:5318	mixs:anatomical_site	PO:0009005
GOLDTERMS:5318	mixs:env_medium	ENVO:00005802
GOLDTERMS:5318	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5318	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5318	rdfs:label	Host-associated > Plants > Roots > Bulk soil
GOLDTERMS:5320	mixs:anatomical_site	PO:0020038
GOLDTERMS:5320	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5320	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5320	rdfs:label	Host-associated > Plants > Phyllosphere > Petiole
GOLDTERMS:5321	mixs:anatomical_site	PO:0025034
GOLDTERMS:5321	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5321	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5321	rdfs:label	Host-associated > Plants > Phyllosphere > Leaf > Leaf lesion
GOLDTERMS:5322	mixs:env_medium	ENVO:00002034
GOLDTERMS:5322	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5322	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5322	rdfs:label	Host-associated > Plants > Phyllosphere > Phylloplane/Leaf surface > Biofilm
GOLDTERMS:5405	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5405	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5405	rdfs:label	Host-associated > Plants > Macrophytes > Submerged macrophytes
GOLDTERMS:5407	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5407	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5407	rdfs:label	Host-associated > Plants > Macrophytes > Emergent macrophytes
GOLDTERMS:5416	mixs:anatomical_site	PO:0025356
GOLDTERMS:5416	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5416	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5416	rdfs:label	Host-associated > Plants > Rhizome > Bulb
GOLDTERMS:5448	mixs:anatomical_site	PO:0020031
GOLDTERMS:5448	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:5448	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:5448	rdfs:label	Host-associated > Plants > Seeds > Seed radicle
