curie	label	envo_native	obsolete	EnvBroadScaleSoilEnum_10_7	ancestors_in_enum_count	descendants_in_enum_count	nlcd_class	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	soil	liquid water	water ice	human_construction	building	building_part	goldterms_mappings	nmdc_biosamples_count	ncbi_bioporjects_count
ENVO:00000460	penplain	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001495	dioxygen dissolved in marine water	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01000653	slum	True	False	False	2	0	False	True	True	False	False	False	False	False	False	False	False	False	False	False		1.0
PATO:0002269	accumulation	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00002237	chernozem	True	False	False	0	0	False	True	False	False	False	False	True	True	False	False	False	False	False	False		1.0
ENVO:00002042	surface water	True	False	False	0	0	False	False	False	False	False	False	True	False	True	False	False	False	False	False		1.0
ENVO:0000479		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:01000200	tropical broadleaf forest biome	True	False	False	2	0	False	True	True	True	True	False	False	False	False	False	False	False	False	False		3.0
ENVO:00000462	polygenetic volcanic field	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:0000561		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00000371	complex volcano	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000415	raised beach	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001491	flattened elevation	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:02000121	peat extraction	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001010	hydrometeor	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000216	montane shrubland biome	True	False	True	3	0	False	True	True	True	True	False	False	False	False	False	False	False	False	False	6.0	1.0
ENVO:0000547		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00000077	agricultural ecosystem	True	False	False	0	0	False	False	True	False	False	False	False	False	False	False	False	False	False	True		35.0
ENVO:00000399	ash cone	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:06105280	silty clay	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		1.0
ENVO:00002871	alluvial soil	True	False	False	0	0	False	True	False	False	False	False	True	True	False	False	False	False	False	False		2.0
NCBITaxon:2836	Bacillariophyta	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01020		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:0000566		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:01001289	brush fire	True	False	False	1	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
CHEBI:28938	ammonium	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		30.0
ENVO:01000224	mediterranean grassland biome	True	False	False	3	0	False	True	True	True	True	False	False	False	False	False	False	False	False	False		2.0
ENVO:00005748	dry soil	True	False	False	0	0	False	True	False	False	False	False	True	True	False	False	False	False	False	False		4.0
ENVO:00000361	site of special scientific interest	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01000355	vegetation layer	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		4.0
ENVO:01001488	aircraft	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:003		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:04000011	bare soil surface layer	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000021	freshwater lake	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:02000043	biological product	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000500	beaver dam	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000891	area of pastureland or hayfields	True	False	False	3	0	True	True	False	False	False	False	False	False	False	False	False	False	False	False		5.0
ENVO:00000456	tidewater glacier	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00002290		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000181	nunatak	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00000189	peat swamp	True	False	False	0	0	False	False	True	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:09200010	acidity of soil	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000620	mesocosm	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		16.0
ENVO:00002000	slope	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		11.0
ENVO:00002001	waste water	True	False	False	0	0	False	False	False	False	False	False	True	False	True	False	False	False	False	False		20.0
ENVO:01000963	diatomite particle	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:047		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01000207	mediterranean	True	False	False	0	4	False	False	False	False	False	False	False	False	False	False	False	False	False	False		4.0
ENVO:01001069	metallic material	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		1.0
ENVO:00000346	grain of acid dune sand	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001209	wetland ecosystem	True	False	False	0	2	False	False	True	False	False	False	False	False	False	False	False	False	False	True		5.0
ENVO:01000599	river water	True	False	False	0	0	False	True	False	False	False	False	True	False	True	False	False	False	False	False		1.0
ENVO:01001511	freshwater ice	True	False	False	0	0	False	False	False	False	False	False	True	False	False	True	False	False	False	False		
ENVO:00005759	alluvial paddy field soil	True	False	False	0	0	False	True	False	False	False	False	True	True	False	False	False	False	False	False		2.0
ENVO:01000910	soil biocrust	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	True		9.0
ENVO:00000091	beach	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		4.0
ENVO:00002329		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:026		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001641	glaciation	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:028		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000449	drinking water reservoir	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	True	False	False	False		2.0
ENVO:00002300		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000630	acidification of an aquatic environment	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001013	reflection rainbow	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01041		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000078	farm	True	False	False	2	0	False	False	True	False	False	False	False	False	False	False	False	False	False	True		185.0
ENVO:00002321		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
