NCBITaxon:85512	Dicondylia
CHEBI:17996	chloride
ENVO:00000345	grain of beach sand
ENVO:00003896	currency note
ENVO:00000220	archipelago
ENVO:01000369	vadose cave
ENVO:02000118	paraffin wax
ENVO:00000104	undersea feature
UBERON:0001866	sebum
ENVO:01001353	environmental zone of processual equilibrium
CHEBI:30216	alpha-particle
CHEBI:38206	chlorophyllide
FOODON:00001256	dairy food product
ENVO:03510035	naphtha
FOODON:00002151	plant seed based bakery food product
ENVO:01001687	mass of solid material
ENVO:01001814	organic object
ENVO:01001794	temperate broadleaf forest
FOODON:00002301	pork cured meat food product
NCBITaxon:1205	Trichodesmium
ENVO:03501358	processing line
ENVO:01001563	quicksand
ENVO:00002270	chemocline
FOODON:03301103	orange juice
ENVO:00000423	river island
CHEBI:143005	ultra-long-chain fatty acid anion
CHEBI:37007	nicotinamide dinucleotide
ENVO:00000035	marsh
ENVO:01001193	water-based planetary surface
CHEBI:22985	calcium molecular entity
ENVO:01001464	UNEP-WCMC class 4 mountain
ENVO:01001408	cirrostratus cloud
ENVO:00005770	beech forest soil
CHEBI:35681	secondary alcohol
ENVO:01000822	planetary photic zone
ENVO:03501274	bunkhouse
ENVO:00000246	volcanic crater
CHEBI:16716	benzene
ENVO:01000096	water mass front
FOODON:00001027	cheddar cheese food product
FOODON:00002779	jack-bean food product
ENVO:01000515	tiled building roof
CHEBI:16042	halide anion
ENVO:01001790	terrestrial ecosystem
UBERON:0013703	integumentary projection
FOODON:00001261	vegetable food product
UBERON:0003063	prechordal plate
ENVO:01001021	humic lake
UBERON:0001090	synovial fluid
ENVO:00000271	chott
ENVO:00000384	river bed
PO:0025538	plant sap
FOODON:03400294	butter product analog (us cfr)
PO:0000022	plant cuticle
UBERON:0002346	neurectoderm
ENVO:01000365	ice cave
UBERON:0004118	vasculature of iris
ENVO:00000349	terrarium
ENVO:01000507	iron sheet
ENVO:01001391	gill tissue material
CHEBI:62764	reactive nitrogen species
ENVO:01001412	stratocumulus cloud
UBERON:0014387	mesenchyme derived from neural crest
ENVO:03501174	high dependency unit facility
ENVO:01000410	marine eulittoral zone
UBERON:0004529	anatomical projection
ENVO:01001132	hot Neptune
UBERON:0010337	mandibular process mesenchyme from head mesenchyme
UBERON:0006238	future brain
FOODON:00001107	bovine dairy food product
ENVO:02000143	sugar refinery
ENVO:01000811	nitrogen-oxygen planetary atmosphere
ENVO:01000611	bus
ENVO:01000654	undersea trough
ENVO:00000544	leat
CHEBI:28963	amino sugar
FOODON:00001258	food (fermented)
ENVO:1000746	marine mucilage
ENVO:01000004	concentration basin mediterranean sea biome
FOODON:03400187	natural cheese (us cfr)
ENVO:01000258	fluid cline
UBERON:0014783	cloacal muscle
CHEBI:17632	nitrate
ENVO:00000099	artificial island
ENVO:01000889	area of lichen-dominated vegetation
ENVO:00000057	mangrove swamp
ENVO:00002173	hospital
ENVO:00000199	meromictic lake
ENVO:01000545	ionosphere
ENVO:00000539	geographic sill
ENVO:06105266	soil layer
ENVO:00005751	jungle soil
ENVO:00000515	road cut
ENVO:00000173	rocky desert
ENVO:01001785	land
ENVO:06105013	marine biota
CHEBI:33366	copper group element atom
UBERON:0013522	subdivision of tube
CHEBI:27638	cobalt atom
ENVO:00000265	guyot
ENVO:01001525	hard-frozen soil
ENVO:03501355	public-private prison
UBERON:0000062	organ
ENVO:00005765	frozen compost soil
ENVO:00000891	large freshwater lake biome
ENVO:01000175	woodland biome
UBERON:0000328	gut wall
CHEBI:37349	phosphorus oxide
ENVO:01000355	vegetation layer
FOODON:00001130	sheep milk cheese food product
ENVO:00000479	mouth
UBERON:0001898	hypothalamus
ENVO:02000002	bedclothing
FOODON:00004242	animal food product
UBERON:0009891	facial mesenchyme
ENVO:00005786	upland soil
NCBITaxon:131221	Streptophytina
UBERON:0009145	pharyngeal region of foregut
UBERON:0005057	immune organ
ENVO:00005738	foamy environmental material
FOODON:00001172	nut food product
ENVO:00000243	freshwater wetland ecosystem
ENVO:03000066	sea ice floe
ENVO:03000083	methane-releasing thermokarst lake
NCBITaxon:436489	Saurischia
ENVO:01001476	body of liquid
UBERON:0003068	axial mesoderm
ENVO:01001625	polar tundra ecosystem
UBERON:0007284	presumptive neural plate
ENVO:03501107	train
FOODON:00001132	swine food product
UBERON:0007798	vascular system
NCBITaxon:33392	Endopterygota
ENVO:00000168	blowhole
ENVO:00000316	intertidal zone
FOODON:00001210	wheat flour food product
ENVO:01001696	isothermal surface
ENVO:03501145	emergency unit room
ENVO:01000003	oil well
ENVO:01000713	flash flood
ENVO:01000221	temperate woodland biome
NCBITaxon:71000	Pfiesteria
CHEBI:36895	monoatomic fluorine
ENVO:00000408	volcanic fissure
FOODON:00001049	pork chop food product
ENVO:00000215	hydrothermal vent
ENVO:00000185	raised mire
ENVO:00000294	fish farm
ENVO:01000642	outer planetary core
ENVO:01001039	highly saline water
ENVO:03501368	conveyor roller
FOODON:00001079	food (pickled)
CHEBI:167564	paralytic shellfish toxin
ENVO:00002142	borax leachate
ENVO:06105123	synthetic polymer
UBERON:0014477	thoracic skeleton
NCBITaxon:8782	Aves
ENVO:01001681	weather front
ENVO:01001780	desert ecosystem
ENVO:01000945	primary microplastic particle
CHEBI:26398	purine ribonucleoside triphosphate
UBERON:0001798	vitreous body
ENVO:01000139	animal carcass fall
UBERON:0007503	epithelial vesicle
ENVO:00000323	live cave
ENVO:01000231	lava
ENVO:00003090	kynurenate enriched soil
NCBITaxon:1121	Aphanothece
NCBITaxon:2696291	Ochrophyta
CHEBI:17326	nucleoside 5'-triphoshate
ENVO:01000510	sheet-iron building roof
CHEBI:13389	NAD
UBERON:0007135	neural keel
ENVO:00002120	acidic hot spring
CHEBI:24873	iron molecular entity
ENVO:00000147	ocean current
CHEBI:155827	argon-39 atom
ENVO:00000346	grain of acid dune sand
ENVO:01001787	aquatic ecosystem
CHEBI:38976	alkylbenzene
ENVO:00000075	bridge
CHEBI:59202	straight-chain fatty acid
CHEBI:33958	halide salt
ENVO:03510020	degreaser
UBERON:0001017	central nervous system
ENVO:00002202	organically enriched sediment
CHEBI:24651	hydroxides
ENVO:00002176	contaminated sludge
ENVO:01001385	Bathymodiolus-dominated oceanic mussel reef
ENVO:03000074	grease ice layer
CHEBI:33637	ortho-fused compound
UBERON:0005157	epithelial fold
ENVO:01000928	fish processing building
UBERON:0014793	musculature of pectoral complex
CHEBI:36915	inorganic cation
ENVO:01000645	solid planetary core
UBERON:0000344	mucosa
FOODON:00001007	sausage food product
ENVO:03600084	lichen material
ENVO:00000279	saline pan
ENVO:00000563	pier
CHEBI:58454	kynurenate
UBERON:0003080	anterior neural tube
ENVO:01001848	rime
UBERON:0002390	hematopoietic system
CHEBI:37622	carboxamide
CHEBI:25154	manganese molecular entity
ENVO:00002153	compost biofilter
ENVO:01000319	rocky slope
ENVO:03400009	falling sleet
ENVO:01001165	IUCN natural monument or feature
ENVO:00000873	freshwater biome
CHEBI:51718	alpha,beta-unsaturated aldehyde
ENVO:03000034	shallow marine sediment
UBERON:0001041	foregut
CHEBI:47032	1,4-dioxane
ENVO:01001106	landslide lake
CHEBI:25523	NADP
ENVO:00000435	proglacial lake
NCBITaxon:6656	Arthropoda
UBERON:0003386	smooth muscle of eye
UBERON:0000166	oral opening
NCBITaxon:35493	Streptophyta
ENVO:01001167	ecosystem fragment
ENVO:01000309	cold environment
UBERON:0000923	germ layer
FOODON:00001005	fermenting elaeis palm sap food product
ENVO:01000734	laccolith
ENVO:00000080	mountain range
ENVO:01000262	seep
UBERON:0000476	acellular anatomical structure
NCBITaxon:3367	Cupressaceae
CHEBI:47909	3-oxo-Delta(4) steroid
ENVO:00000488	glacial lake
CHEBI:36309	cyclic tetrapyrrole
