	id	elev	geo_loc_name	geo_loc_name_normalized	latitude	latitude_decimal_len	longitude	longitude_decimal_len	normalized_address	formatted_address	lat	lon	distance_between_corners	ne_lat	ne_lon	sw_lat	sw_lon	lat_lon_diff
1623	nmdc:bsm-11-586jjm66		USA: NH, Carroll	usa nh carroll	44.063889	6	-71.287375	6	usa nh carroll	Carroll, NH, USA	44.297676	-71.5427968	22.59113609858722	44.3554409	-71.395246	44.2120819	-71.596341	33.024890461473966
1624	nmdc:bsm-11-586jjm66		USA: NH, Carroll	usa nh carroll	44.063889	6	-71.287375	6	usa nh carroll	Carroll County, NH, USA	43.8128209	-71.25060669999999	101.84235157515448	44.2848967	-70.9508379	43.482913	-71.56460310000001	28.072300462100138
1625	nmdc:bsm-11-58bnc777		USA: AK, North Slope	usa ak north slope	68.627175	6	-149.590514	6	usa ak north slope	North Slope Borough, AK, USA	69.05787579999999	-152.8628274	1061.7321245038004	71.441059	-141.0026568	67.999952	-166.9855109	139.76964612938033
1626	nmdc:bsm-11-58gmkj95	3312.5	USA: Colorado, Niwot Ridge	usa colorado niwot ridge	40.043059	6	-105.581501	6	usa colorado niwot ridge	Niwot Ridge, Colorado 80466, USA	40.0597085	-105.6169466						3.5397316258727116
1627	nmdc:bsm-11-58vre866		USA: Alaska	usa alaska	64.85568	5	-147.80559	5	usa alaska	Alaska, USA	63.588753	-154.4930619	3591.8039928703406	71.439786	-129.9741939	51.175092	172.347846	352.51643930338327
1628	nmdc:bsm-11-598j2782	392.4	USA: Virginia, Smithsonian Conservation Biology Institute	usa virginia smithsonian conservation biology institute	38.894257	6	-78.137217	6	usa virginia smithsonian conservation biology institute	1500 Remount Rd, Front Royal, VA 22630, USA	38.8871467	-78.1653155						2.557163292225993
1629	nmdc:bsm-11-59cr8x42	700.0	Honduras: Lago de Yojoa	honduras lago de yojoa	14.8889	4	-87.9718	4	honduras lago de yojoa	Lake Yojoa, Honduras	14.8716738	-87.9824758	19.23214199973304	14.9389177	-87.9464149	14.7931401	-88.042717	2.2327724827474547
1630	nmdc:bsm-11-59qa9q13	1261.1	USA: Arizona, Santa Rita Experimental Range	usa arizona santa rita experimental range	31.828844	6	-110.823985	6	usa arizona santa rita experimental range	Arizona, USA	34.0489281	-111.0937311	824.0051895238184	37.0037251	-109.0451719	31.3323448	-114.8163229	248.14185993320902
1631	nmdc:bsm-11-5a7ccz47	38.6	USA: Georgia, The Jones Center At Ichauway	usa georgia the jones center at ichauway	31.194314	6	-84.477077	6	usa georgia the jones center at ichauway	3988 Jones Center Dr, Newton, GA 39870, USA	31.2205201	-84.47922989999999						2.9211699129987885
1632	nmdc:bsm-11-5aebnt29	292.4	USA: Texas, Lyndon B. Johnson National Grassland	usa texas lyndon b johnson national grassland	33.375278	6	-97.595151	6	usa texas lyndon b johnson national grassland	Lyndon B Johnson National Grassland, Texas 76225, USA	33.4167777	-97.6253071						5.397367434474618
1633	nmdc:bsm-11-5ahkd129	834.7	USA: Alaska, Toolik Field Station	usa alaska toolik field station	68.560148	6	-149.528532	6	usa alaska toolik field station	68° 38' N, 149° 36' W, AK, USA	68.62722769999999	-149.5912475						7.881226796396681
1634	nmdc:bsm-11-5ak8ja54	62.0	USA: Oregon	usa oregon	44.587532	6	-123.193385	6	usa oregon	Oregon, USA	43.8041334	-120.5542012	812.7250288646959	46.299099	-116.463262	41.9920819	-124.703541	227.70768643867862
1635	nmdc:bsm-11-5azpcj53	48.5	USA: Georgia, The Jones Center At Ichauway	usa georgia the jones center at ichauway	31.194504	6	-84.460062	6	usa georgia the jones center at ichauway	3988 Jones Center Dr, Newton, GA 39870, USA	31.2205201	-84.47922989999999						3.4193269413842153
1636	nmdc:bsm-11-5b2qmr43	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4	usa wisconsin	Wisconsin, USA	43.7844397	-88.7878678	748.1548770678803	47.309822	-86.249548	42.4917199	-92.8894331	90.98876752230821
1637	nmdc:bsm-11-5bhdx517	18.2	USA: Puerto Rico, Lajas Experimental Station	usa puerto rico lajas experimental station	18.025922	6	-67.081365	6	usa puerto rico lajas experimental station	Lajas, 00667, Puerto Rico	18.049962	-67.0593449	3.819720494884953	18.0579528	-67.0445689	18.0352469	-67.07168	3.544860617437688
1638	nmdc:bsm-11-5bhdx517	18.2	USA: Puerto Rico, Lajas Experimental Station	usa puerto rico lajas experimental station	18.025922	6	-67.081365	6	usa puerto rico lajas experimental station	United States	37.09024	-95.712891	9007.238625192922	74.071038	-66.885417	18.7763	166.9999999	3505.584358090575
1639	nmdc:bsm-11-5bk4z145	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4	usa wisconsin	Wisconsin, USA	43.7844397	-88.7878678	748.1548770678803	47.309822	-86.249548	42.4917199	-92.8894331	90.98876752230821
