id	elev	geo_loc_name	geo_loc_name_normalized	latitude	latitude_decimal_len	longitude	longitude_decimal_len
nmdc:bsm-11-t08d4v55	639.4	USA: Alaska, Healy	usa alaska healy	63.87307	5	-149.287886	6
nmdc:bsm-11-t0aaxr04	1178.5	USA: Virginia, Mountain Lake Biological Station	usa virginia mountain lake biological station	37.372058	6	-80.524252	6
nmdc:bsm-11-t0kq4j26	1002.3	USA: Arizona, Santa Rita Experimental Range	usa arizona santa rita experimental range	31.909531	6	-110.833359	6
nmdc:bsm-11-t0v48b69	827.4	USA: Alaska, Toolik Field Station	usa alaska toolik field station	68.666666	6	-149.369752	6
nmdc:bsm-11-t0vnmc40	20.5	USA: Florida, Disney Wilderness Preserve	usa florida disney wilderness preserve	28.125082	6	-81.432746	6
nmdc:bsm-11-t0ww6c13	515.1	USA: Alaska, Delta Junction	usa alaska delta junction	63.879623	6	-145.720429	6
nmdc:bsm-11-t0yz9e20	465.5	USA: Wisconsin, Treehaven	usa wisconsin treehaven	45.49355	5	-89.592162	6
nmdc:bsm-11-t0z99285		USA: AK, North Slope	usa ak north slope	68.627175	6	-149.590514	6
nmdc:bsm-11-t16bw552	515.1	USA: Alaska, Delta Junction	usa alaska delta junction	63.879623	6	-145.720429	6
nmdc:bsm-11-t179p633	28.8	USA: Florida, Ordway-Swisher Biological Station	usa florida ordway swisher biological station	29.696568	6	-82.02558	5
nmdc:bsm-11-t1dxmg92	358.9	USA: Virginia, Smithsonian Conservation Biology Institute	usa virginia smithsonian conservation biology institute	38.890566	6	-78.139432	6
nmdc:bsm-11-t1f4ce77	175.1	USA: Massachusetts, Harvard Forest & Quabbin Watershed	usa massachusetts harvard forest quabbin watershed	42.45243	5	-72.250472	6
nmdc:bsm-11-t1jw2g21	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4
nmdc:bsm-11-t1qn3f71		Israel: Gesher Arik, Golan Heights	israel gesher arik golan heights	32.8993	4	35.6136	4
nmdc:bsm-11-t1ttgc27		USA: AK, North Slope	usa ak north slope	68.627175	6	-149.590514	6
nmdc:bsm-11-t21kbh64	256.4	USA: New Hampshire, Bartlett Experimental Forest	usa new hampshire bartlett experimental forest	44.067944	6	-71.290624	6
nmdc:bsm-11-t224fs06	519.4	USA: Oklahoma, Marvin Klemme Range Research Station	usa oklahoma marvin klemme range research station	35.419991	6	-99.057264	6
nmdc:bsm-11-t28hky56	843.8	USA: Alaska, Toolik Field Station	usa alaska toolik field station	68.627943	6	-149.347229	6
nmdc:bsm-11-t2jy7v39	656.9	USA: Alaska, Healy	usa alaska healy	63.877228	6	-149.263772	6
nmdc:bsm-11-t2mwbn08	308.2	USA: Tennessee, Oak Ridge	usa tennessee oak ridge	35.982199	6	-84.212753	6
