sub	mixs:env_broad	mixs:env_local	mixs:env_medium	mixs:host_taxon	mixs:mixs_extension	mixs:other	rdfs:comment	rdfs:label	skos:closeMatch	skos:exactMatch	env_broad_label	env_local_label	env_medium_label
GOLDTERMS:5587	ENVO:01000254	ENVO:00000446	ENVO:00002261		mixs:Soil	ENVO:03600018	env_broad: environmental system; env_local: terrestrial biome; env_medium: forest soil; mixs_extension: MIXS:Soil; other: organic horizon; partial	Environmental > Terrestrial > Soil > Organic layer > Forest soil			environmental system	terrestrial biome	forest soil
GOLDTERMS:5589	ENVO:01000254	ENVO:00000446	ENVO:00002261		mixs:Soil	ENVO:03600011	env_broad: environmental system; env_local: terrestrial biome; env_medium: forest soil; mixs_extension: MIXS:Soil; other: mineral horizon; partial	Environmental > Terrestrial > Soil > Mineral horizon > Forest soil			environmental system	terrestrial biome	forest soil
GOLDTERMS:5610	ENVO:01000254	ENVO:00000255	ENVO:00001998		mixs:Soil		env_broad: environmental system; env_local: flood plain; env_medium: soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Floodplain			environmental system	flood plain	soil
GOLDTERMS:5612	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil	PATO:0015032	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; other: increased contamination; partial	Environmental > Terrestrial > Soil > Paddy field/soil > Contaminated			environmental system	terrestrial biome	soil
GOLDTERMS:5613	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Paddy field/soil			environmental system	terrestrial biome	soil
GOLDTERMS:5615	ENVO:01000254	ENVO:00000292	ENVO:00001998		mixs:Soil		env_broad: environmental system; env_local: watershed; env_medium: soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Watershed		ENVO:00000292	environmental system	watershed	soil
GOLDTERMS:5617	ENVO:01000254	ENVO:00000108	ENVO:00001998		mixs:Soil	ENVO:00000363	env_broad: environmental system; env_local: meadow ecosystem; env_medium: soil; mixs_extension: MIXS:Soil; other: area designated as a nature reserve; partial	Environmental > Terrestrial > Soil > Nature reserve > Meadow			environmental system	meadow ecosystem	soil
GOLDTERMS:5621	ENVO:01001209	ENVO:00000446	ENVO:00005774		mixs:Soil		env_broad: wetland ecosystem; env_local: terrestrial biome; env_medium: peat soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Peat > Bog			wetland ecosystem	terrestrial biome	peat soil
GOLDTERMS:5725	ENVO:01000254	ENVO:00000446	ENVO:00005802		mixs:Soil	PATO:0015032	env_broad: environmental system; env_local: terrestrial biome; env_medium: bulk soil; mixs_extension: MIXS:Soil; other: increased contamination; partial	Environmental > Terrestrial > Soil > Bulk soil > Contaminated			environmental system	terrestrial biome	bulk soil
GOLDTERMS:5727	ENVO:00000077	ENVO:01001207	ENVO:00001998		mixs:Soil		env_broad: agricultural ecosystem; env_local: ranch; env_medium: soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Ranch > Agricultural land			agricultural ecosystem	ranch	soil
GOLDTERMS:5729	ENVO:00000077	ENVO:00000266	ENVO:00005773		mixs:Soil		env_broad: agricultural ecosystem; env_local: pasture; env_medium: pasture soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Pasture > Agricultural land			agricultural ecosystem	pasture	pasture soil
GOLDTERMS:5754	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil		env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; partial	Environmental > Terrestrial > Soil > Manure-fertilized			environmental system	terrestrial biome	soil
