s	s_is_soil	s_is_reasonable_other	slab	p	plab	p_lab_or_id	relation_is_reasonable	o	o_is_soil	o_is_reasonable_other	olab	slab_olab_cosine	sole_reasonable_other	sole_soil
ENVO:00005764	True	False	pond soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6666666666666666		pond soil
ENVO:00005765	True	False	frozen compost soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00005747	True	False	compost soil	0.7947194142390263		
ENVO:00005765	True	False	frozen compost soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:01001526	True	False	frozen soil	0.760885910252682		
ENVO:00005766	True	False	limed soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6324555320336759		limed soil
ENVO:00005767	True	False	manured soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5773502691896258		manured soil
ENVO:00005768	True	False	orchid soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6030226891555273		orchid soil
ENVO:00005769	True	False	mountain forest soil	BFO:0000050	part of	part of	True	ENVO:00000081	False	True	mountain	0.6324555320336759	mountain	mountain forest soil
ENVO:00005769	True	False	mountain forest soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002261	True	False	forest soil	0.7416198487095663		
ENVO:00005769	True	False	mountain forest soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00005786	True	False	upland soil	0.5393598899705937		
ENVO:00005770	True	False	beech forest soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002261	True	False	forest soil	0.8043996665398437		
ENVO:00005771	True	False	muddy soil	RO:0002473	composed primarily of	composed primarily of	True	ENVO:01000001	False	False	mud	0.5477225575051661		muddy soil
ENVO:00005771	True	False	muddy soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6324555320336759		muddy soil
ENVO:00005772	True	False	orchard soil	BFO:0000050	part of	part of	True	ENVO:00000115	False	True	orchard	0.7637626158259734	orchard	orchard soil
ENVO:00005772	True	False	orchard soil	RO:0001025	located in	located in	True	ENVO:00000115	False	True	orchard	0.7637626158259734	orchard	orchard soil
ENVO:00005772	True	False	orchard soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00005749	True	False	farm soil	0.6735753140545634		
ENVO:00005773	True	False	pasture soil	RO:0001025	located in	located in	True	ENVO:00000266	False	True	pasture	0.7637626158259734	pasture	pasture soil
ENVO:00005773	True	False	pasture soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5773502691896258		pasture soil
ENVO:00005774	True	False	peat soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002243	True	False	histosol	0.5892556509887896		
ENVO:00005775	True	False	salt contaminated soil	ENVO:02000200	has increased levels of	has increased levels of	False	CHEBI:26710	False	True	sodium chloride	0.6055300708194984	sodium chloride	salt contaminated soil
ENVO:00005775	True	False	salt contaminated soil	RO:0000086	has quality	has quality	False	PATO:0001657	False	False	increased osmolarity	0.7627700713964739		salt contaminated soil
ENVO:00005775	True	False	salt contaminated soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002116	True	False	contaminated soil	0.8790490729915326		
ENVO:00005776	True	False	peaty paddy field soil	ENVO:02000200	has increased levels of	has increased levels of	False	ENVO:00005774	True	False	peat soil	0.6396021490668313		
ENVO:00005776	True	False	peaty paddy field soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003082	True	False	enriched soil	0.5321811563901744		
ENVO:00005776	True	False	peaty paddy field soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00005740	True	False	paddy field soil	0.8528028654224417		
ENVO:00005777	True	False	steppe soil	RO:0001025	located in	located in	True	ENVO:00000262	False	True	steppe	0.7385489458759964	steppe	steppe soil
ENVO:00005777	True	False	steppe soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00005750	True	False	grassland soil	0.48349377841522817		
ENVO:00005778	True	False	tropical soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5547001962252291		tropical soil
ENVO:00005779	True	False	vegetable garden soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002263	True	False	garden soil	0.7237468644557459		
ENVO:00005780	True	False	greenhouse soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5163977794943222		greenhouse soil
ENVO:00005781	True	False	heat stressed soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.47140452079103173		heat stressed soil
ENVO:00005782	True	False	ornithogenic soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.48507125007266594		ornithogenic soil
ENVO:00005783	True	False	leafy wood soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002261	True	False	forest soil	0.6227991553292184		
ENVO:00005784	True	False	spruce forest soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002261	True	False	forest soil	0.7817359599705717		
ENVO:00005786	True	False	upland soil	BFO:0000050	part of	part of	True	ENVO:00000176	False	True	elevated landform	0.5118906968889915	elevated landform	upland soil
ENVO:00005786	True	False	upland soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6030226891555273		upland soil
ENVO:00005787	True	False	eucalyptus forest soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002261	True	False	forest soil	0.7071067811865476		
ENVO:00005788	True	False	rubber plantation soil	BFO:0000050	part of	part of	True	ENVO:00000164	False	True	rubber plantation	0.8790490729915326	rubber plantation	rubber plantation soil
ENVO:00005788	True	False	rubber plantation soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002259	True	False	agricultural soil	0.6722139969935249		
ENVO:00005788	True	False	rubber plantation soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00005749	True	False	farm soil	0.49746833816309105		
ENVO:00005789	True	False	bluegrass field soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002259	True	False	agricultural soil	0.6507913734559685		
ENVO:00005790	True	False	red soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.7071067811865475		red soil
ENVO:00005802	True	False	bulk soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6666666666666666		bulk soil
ENVO:01000427	True	False	carbon nanotube enriched soil	ENVO:02000200	has increased levels of	has increased levels of	False	CHEBI:50594	False	True	carbon nanotube	0.7191949522280763	carbon nanotube	carbon nanotube enriched soil
ENVO:01000427	True	False	carbon nanotube enriched soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003082	True	False	enriched soil	0.6695340634119862		
ENVO:01001185	True	False	acidic soil	RO:0000086	has quality	has quality	False	PATO:0001429	False	False	acidic	0.7385489458759964		acidic soil
ENVO:01001185	True	False	acidic soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6030226891555273		acidic soil
ENVO:01001397	True	False	ultisol	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.7559289460184544		ultisol
ENVO:01001525	True	False	hard-frozen soil	BFO:0000051	has part	has part	True	ENVO:01000277	False	False	water ice	0.4166666666666667		hard-frozen soil
ENVO:01001525	True	False	hard-frozen soil	RO:0000086	has quality	has quality	False	PATO:0000386	False	False	hard	0.5		hard-frozen soil
ENVO:01001525	True	False	hard-frozen soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:01000814	False	False	solid environmental material	0.5669467095138409		hard-frozen soil
ENVO:01001525	True	False	hard-frozen soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:01001526	True	False	frozen soil	0.82915619758885		
ENVO:01001526	True	False	frozen soil	BFO:0000050	part of	part of	True	ENVO:01001524	False	True	frozen land	0.7272727272727273	frozen land	frozen soil
ENVO:01001526	True	False	frozen soil	RO:0000086	has quality	has quality	False	PATO:0001985	False	False	frozen	0.7385489458759964		frozen soil
ENVO:01001526	True	False	frozen soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6030226891555273		frozen soil
ENVO:01001527	True	False	plastic-frozen soil	BFO:0000051	has part	has part	True	ENVO:00002006	False	False	liquid water	0.5298129428260175		plastic-frozen soil
ENVO:01001527	True	False	plastic-frozen soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:01001526	True	False	frozen soil	0.760885910252682		
ENVO:01001528	True	False	friable-frozen soil	BFO:0000051	has part	has part	True	ENVO:01000277	False	False	water ice	0.45883146774112354		friable-frozen soil
ENVO:01001528	True	False	friable-frozen soil	RO:0000086	has quality	has quality	False	PATO:0000386	False	False	hard	0.22941573387056174		friable-frozen soil
ENVO:01001528	True	False	friable-frozen soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:01000814	False	False	solid environmental material	0.6069769786668839		friable-frozen soil
ENVO:01001528	True	False	friable-frozen soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:01001526	True	False	frozen soil	0.760885910252682		
ENVO:01001616	True	False	bare soil	RO:0002220	adjacent to	adjacent to	True	ENVO:01000540	False	True	troposphere	0.40201512610368484	troposphere	bare soil
ENVO:01001616	True	False	bare soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6666666666666666		bare soil
ENVO:01001638	True	False	frost-susceptible soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.42640143271122083		frost-susceptible soil
ENVO:01001841	True	False	volcanic soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002232	True	False	andosol	0.628970902033151		
ENVO:02000059	True	False	surface soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5773502691896258		surface soil
ENVO:02000138	True	False	mangrove biome soil	RO:0001025	located in	located in	True	ENVO:01000181	False	False	mangrove biome	0.8583950752789522		mangrove biome soil
ENVO:02000138	True	False	mangrove biome soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.4588314677411235		mangrove biome soil
ENVO:03600036	True	False	pathogen-suppressive soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.4		pathogen-suppressive soil
ENVO:06105205	True	False	compacted soil	RO:0000086	has quality	has quality	False	PATO:0001485	False	False	condensed	0.44543540318737396		compacted soil
ENVO:06105205	True	False	compacted soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5345224838248488		compacted soil
ENVO:06105274	True	False	sandy loam	ENVO:02000200	has increased levels of	has increased levels of	False	ENVO:01000017	False	False	sand	0.6324555320336759		sandy loam
ENVO:06105274	True	False	sandy loam	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002258	True	False	loam	0.6324555320336759		
ENVO:06105274	True	False	sandy loam	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003082	True	False	enriched soil	0.5262348115842176		
ENVO:06105275	True	False	silty loam	ENVO:02000200	has increased levels of	has increased levels of	False	ENVO:01000016	False	False	silt	0.6324555320336759		silty loam
ENVO:06105275	True	False	silty loam	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002258	True	False	loam	0.6324555320336759		
ENVO:06105275	True	False	silty loam	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003082	True	False	enriched soil	0.43852900965351466		
