sub	pred	object_or_value
GOLDTERMS:4238	mixs:env_local	ENVO:01000177
GOLDTERMS:4238	mixs:env_medium	ENVO:00002258
GOLDTERMS:4238	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4238	rdfs:comment	env_broad: environmental system; env_local: grassland biome; env_medium: loam; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4238	rdfs:label	Environmental > Terrestrial > Soil > Loam > Grasslands
GOLDTERMS:4218	mixs:env_broad	ENVO:01000254
GOLDTERMS:4218	mixs:env_local	ENVO:00000076
GOLDTERMS:4218	mixs:env_medium	ENVO:00001998
GOLDTERMS:4218	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:4218	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4218	rdfs:comment	env_broad: environmental system; env_local: mine; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4218	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Mine
GOLDTERMS:5585	mixs:env_broad	ENVO:01000254
GOLDTERMS:5585	mixs:env_local	ENVO:00000108
GOLDTERMS:5585	mixs:env_medium	ENVO:00005802
GOLDTERMS:5585	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5585	rdfs:comment	env_broad: environmental system; env_local: meadow ecosystem; env_medium: bulk soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5585	rdfs:label	Environmental > Terrestrial > Soil > Bulk soil > Meadow
GOLDTERMS:Environmental-Terrestrial-Soil-Mineral-horizon	mixs:env_broad	ENVO:01000254
GOLDTERMS:Environmental-Terrestrial-Soil-Mineral-horizon	mixs:env_local	ENVO:00000446
GOLDTERMS:Environmental-Terrestrial-Soil-Mineral-horizon	mixs:env_medium	ENVO:00001998
GOLDTERMS:Environmental-Terrestrial-Soil-Mineral-horizon	mixs:mixs_extension	mixs:Soil
GOLDTERMS:Environmental-Terrestrial-Soil-Mineral-horizon	mixs:other	ENVO:03600011
GOLDTERMS:Environmental-Terrestrial-Soil-Mineral-horizon	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; other: mineral horizon; partial
GOLDTERMS:Environmental-Terrestrial-Soil-Mineral-horizon	rdfs:label	Environmental > Terrestrial > Soil > Mineral horizon
GOLDTERMS:Environmental-Terrestrial-Soil-Mineral-horizon	skos:exactMatch	ENVO:03600011
GOLDTERMS:5817	mixs:env_broad	ENVO:01000254
GOLDTERMS:5817	mixs:env_local	ENVO:01001243
GOLDTERMS:5817	mixs:env_medium	ENVO:00005774
GOLDTERMS:5817	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5817	rdfs:comment	env_broad: environmental system; env_local: forest ecosystem; env_medium: peat soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5817	rdfs:label	Environmental > Terrestrial > Soil > Peat > Forest
GOLDTERMS:5817	skos:closeMatch	ENVO:00000111
GOLDTERMS:5613	mixs:env_broad	ENVO:01000254
GOLDTERMS:5613	mixs:env_local	ENVO:00000446
GOLDTERMS:5613	mixs:env_medium	ENVO:00001998
GOLDTERMS:5613	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5613	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5613	rdfs:label	Environmental > Terrestrial > Soil > Paddy field/soil
GOLDTERMS:4231	mixs:env_broad	ENVO:01000254
GOLDTERMS:4231	mixs:env_local	ENVO:00000446
GOLDTERMS:4231	mixs:env_medium	ENVO:00002982
GOLDTERMS:4231	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4231	mixs:other	PATO:0015032
